symbol,company_name,sector,industry,market_cap_category,exchange,beta,average_volume_90_days,has_dividend,ipo_year
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,Large,NMS,0.473,3759842.0,Yes,
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Large,NMS,1.41,2662177.0,Yes,
EXPD,Expeditors International,Industrials,Air Freight & Logistics,Large,NYQ,1.107,1561866.0,Yes,
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,Large,NYQ,1.242,1328547.0,Yes,
XOM,ExxonMobil,Energy,Integrated Oil & Gas,Large,NYQ,0.348,21091210.0,Yes,
FFIV,"F5, Inc.",Information Technology,Communications Equipment,Large,NMS,0.994,923554.0,No,
FDS,FactSet,Financials,Financial Exchanges & Data,Large,NYQ,0.751,923623.0,Yes,
FICO,Fair Isaac,Information Technology,Application Software,Large,NYQ,1.277,322933.0,No,
FAST,Fastenal,Industrials,Trading Companies & Distributors,Large,NMS,0.862,8674847.0,Yes,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,Large,NYQ,1.011,787179.0,Yes,
FDX,FedEx,Industrials,Air Freight & Logistics,Large,NYQ,1.281,1927998.0,Yes,
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,Large,NYQ,0.909,4831654.0,Yes,
FITB,Fifth Third Bancorp,Financials,Regional Banks,Large,NMS,0.967,12135110.0,Yes,
FSLR,First Solar,Information Technology,Semiconductors,Large,NMS,1.648,2353791.0,No,
FE,FirstEnergy,Utilities,Electric Utilities,Large,NYQ,0.601,4667333.0,Yes,
FISV,Fiserv,Financials,Transaction & Payment Processing Services,Large,NMS,,8401816.0,No,
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,Large,NYQ,1.665,65535037.0,Yes,
FTNT,Fortinet,Information Technology,Systems Software,Large,NMS,1.04,6583338.0,No,
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,0.998,3942742.0,Yes,
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,Large,NMS,0.537,3904986.0,Yes,
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,Large,NMS,0.537,1692867.0,Yes,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,Large,NYQ,1.461,5373444.0,Yes,
FCX,Freeport-McMoRan,Materials,Copper,Large,NYQ,1.438,20501064.0,Yes,
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,Large,NYQ,0.949,971440.0,Yes,
IT,Gartner,Information Technology,IT Consulting & Other Services,Large,NYQ,1.083,1556871.0,No,
GE,GE Aerospace,Industrials,Aerospace & Defense,Large,NYQ,1.369,5421259.0,Yes,
GEHC,GE HealthCare,Health Care,Health Care Equipment,Large,NMS,1.181,3414018.0,Yes,
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,Large,NYQ,,2764322.0,Yes,
GEN,Gen Digital,Information Technology,Systems Software,Large,NMS,1.095,6321166.0,Yes,
GNRC,Generac,Industrials,Electrical Components & Equipment,Large,NYQ,1.769,1130183.0,No,
GD,General Dynamics,Industrials,Aerospace & Defense,Large,NYQ,0.372,1348425.0,Yes,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,Large,NYQ,-0.095,8599433.0,Yes,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,Large,NYQ,1.356,8268364.0,Yes,
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,Large,NYQ,0.734,1506589.0,Yes,
GILD,Gilead Sciences,Health Care,Biotechnology,Large,NMS,0.374,7050803.0,Yes,
GPN,Global Payments,Financials,Transaction & Payment Processing Services,Large,NYQ,0.732,3765542.0,Yes,
GL,Globe Life,Financials,Life & Health Insurance,Large,NYQ,0.455,490708.0,Yes,
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,Large,NYQ,0.979,2125522.0,No,
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,Large,NYQ,1.336,2451030.0,Yes,
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,Large,NYQ,0.753,15117033.0,Yes,
HIG,Hartford (The),Financials,Property & Casualty Insurance,Large,NYQ,0.516,1548659.0,Yes,
HAS,Hasbro,Consumer Discretionary,Leisure Products,Large,NMS,0.526,1848610.0,Yes,
HCA,HCA Healthcare,Health Care,Health Care Facilities,Large,NYQ,1.342,1094822.0,Yes,
DOC,Healthpeak Properties,Real Estate,Health Care REITs,Large,NYQ,1.081,9085659.0,Yes,
HSIC,Henry Schein,Health Care,Health Care Distributors,Large,NMS,0.852,1355655.0,No,
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,Large,NYQ,0.112,1976835.0,Yes,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",Large,NYQ,1.311,17111950.0,Yes,
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Large,NYQ,1.123,1949713.0,Yes,
HOLX,Hologic,Health Care,Health Care Equipment,Large,NMS,0.728,2793145.0,No,
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,Large,NYQ,1.044,4118537.0,Yes,
HON,Honeywell,Industrials,Industrial Conglomerates,Large,NMS,0.904,4240916.0,Yes,
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,Large,NYQ,0.312,4641606.0,Yes,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,Large,NMS,1.154,8462113.0,Yes,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,Large,NYQ,1.188,2623472.0,Yes,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Large,NYQ,1.178,18979266.0,Yes,
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,0.997,536225.0,Yes,
HUM,Humana,Health Care,Managed Health Care,Large,NYQ,0.415,1971703.0,Yes,
HBAN,Huntington Bancshares,Financials,Regional Banks,Large,NMS,0.967,33733350.0,Yes,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,Large,NYQ,0.28,574001.0,Yes,
IBM,IBM,Information Technology,IT Consulting & Other Services,Large,NYQ,0.706,5818806.0,Yes,
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,0.96,804513.0,Yes,
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,Large,NMS,1.696,501316.0,No,
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,1.123,1431454.0,Yes,
INCY,Incyte,Health Care,Biotechnology,Large,NMS,0.844,1873828.0,No,
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,1.289,3752876.0,Yes,
PODD,Insulet Corporation,Health Care,Health Care Equipment,Large,NMS,1.435,980883.0,No,
INTC,Intel,Information Technology,Semiconductors,Large,NMS,1.375,104905003.0,No,
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,Large,NMS,1.251,4805484.0,Yes,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,Large,NYQ,1.051,3782486.0,Yes,
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,Large,NYQ,1.005,1773674.0,Yes,
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,Large,NYQ,1.038,6763827.0,Yes,
INTU,Intuit,Information Technology,Application Software,Large,NMS,1.282,3849493.0,Yes,
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,Large,NMS,1.68,1867700.0,No,
IVZ,Invesco,Financials,Asset Management & Custody Banks,Large,NYQ,1.645,5694205.0,Yes,
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,Large,NYQ,0.814,7010559.0,Yes,
IQV,IQVIA,Health Care,Life Sciences Tools & Services,Large,NYQ,1.411,2042408.0,No,
IRM,Iron Mountain,Real Estate,Other Specialized REITs,Large,NYQ,1.148,1896423.0,Yes,
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,Large,NMS,1.207,1044061.0,Yes,
JBL,Jabil,Information Technology,Electronic Manufacturing Services,Large,NYQ,1.183,1168037.0,Yes,
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,Large,NMS,0.726,958113.0,Yes,
J,Jacobs Solutions,Industrials,Construction & Engineering,Large,NYQ,0.734,898345.0,Yes,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,Large,NYQ,0.326,8638918.0,Yes,
JCI,Johnson Controls,Industrials,Building Products,Large,NYQ,1.389,5215154.0,Yes,
JPM,JPMorgan Chase,Financials,Diversified Banks,Large,NYQ,1.059,10893884.0,Yes,
KVUE,Kenvue,Consumer Staples,Personal Care Products,Large,NYQ,0.473,41910552.0,Yes,
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Large,NMS,0.303,10315091.0,Yes,
KEY,KeyCorp,Financials,Regional Banks,Large,NYQ,1.086,16326696.0,Yes,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,Large,NYQ,1.137,1421598.0,No,
KMB,Kimberly-Clark,Consumer Staples,Household Products,Large,NMS,0.234,5690567.0,Yes,
KIM,Kimco Realty,Real Estate,Retail REITs,Large,NYQ,1.058,5750732.0,Yes,
